,Anti-Mouse_raw,Anti-Mouse_high_pass,PolyT_raw,PolyT_high_pass,DAPI_raw,DAPI_high_pass,Anti-Rabbit_raw,Anti-Rabbit_high_pass
3067542400000100002,15150489.0,883587.8265642656,59785614.0,3830278.034423642,10905968.0,784698.2108132851,14713795.0,868442.5819133465
3067542400000100004,9252133.0,493220.5649518441,36404682.0,2037296.0526566254,6249403.0,394280.34151058574,8807317.0,476098.8044468558
3067542400000100007,10825617.0,626716.1187301757,43110402.0,2735961.1236175927,6753586.0,477278.41524257953,10460778.0,610578.7405629002
3067542400000100012,6797108.0,97543.64360872656,27022289.0,1390234.4482751456,4372726.0,255333.98742914142,6637758.0,98205.74981177622
3067542400000100015,32082118.0,456744.23700466525,136101288.0,1342246.1401422303,25324085.0,468675.98987392057,31092947.0,474302.07302666805
3067542400000200003,8606219.0,525540.9580664643,33409417.0,2315027.3697854467,5604153.0,426715.99999162403,8254936.0,511634.27780423185
3067542400001100022,10823936.0,673627.0074275944,42717280.0,3066754.3668374326,6921861.0,542111.302590817,10706548.0,673805.2909856366
3067542400001100028,12094633.0,134925.72593877706,54307077.0,387881.0199426402,10267419.0,143286.87522099068,11703437.0,141034.23081708458
3067542400001100032,6753031.0,71106.5364619284,30476048.0,205341.8409164088,5641493.0,71817.6959228164,6524688.0,72667.70632148637
3067542400001100034,18220669.0,187869.9479025793,81057387.0,541609.893536299,15136286.0,185362.91153555227,17550896.0,195064.01379507285
3067542400001200001,6804135.0,439189.8609603618,27615559.0,1711797.7361457285,4532381.0,307023.27379282075,6873628.0,445519.52143932006
3067542400001200025,10298937.0,504974.9931610061,40744080.0,2061227.0361728605,6755791.0,396502.8272285686,10096130.0,501879.2026768656
3067542400001200030,3867701.0,252220.386689947,15100975.0,1173045.515346337,2464801.0,209508.8915818014,3839957.0,251204.58768142416
3067542400001200043,12549150.0,139566.0090661784,55364898.0,371212.3382184103,10136009.0,130229.72449941614,12074892.0,140379.1757335307
3067542400002100008,82850023.0,783041.0031129041,714304266.0,5558312.517977685,652856999.0,8803221.90697934,33767547.0,349182.3093416253
3067542400002100010,61794485.0,634783.2377674006,429827668.0,2391304.3048556284,315890173.0,2618140.881850341,29512817.0,306919.9119599729
3067542400002100019,65646984.0,675823.663039359,536560043.0,5109185.608293306,503931912.0,9384453.782979086,29115258.0,258683.86301389145
3067542400002100023,33887439.0,512446.61609988275,231772732.0,2180214.157565006,68518929.0,1379400.9899658551,20836883.0,300217.1874306457
3067542400002100025,132472114.0,1621277.9348516474,1183685004.0,6495490.027959887,1135440408.0,9923302.458175756,47193246.0,644769.9843348794
3067542400002100026,49208575.0,891438.4448416899,366494488.0,3348427.1065734224,137343601.0,2651069.114664802,26228505.0,427764.34872891277
3067542400002100028,46393585.0,564091.4527494083,410079211.0,2880176.638422072,343677132.0,4626888.301652975,20186968.0,222228.05722326384
3067542400002100033,94449177.0,1578110.2554126126,772967049.0,6845210.0774612995,395467773.0,6669202.081277975,49211913.0,762321.4747115844
3067542400002100034,109790598.0,1078523.5372026374,1150326236.0,4502856.496976639,1311324672.0,7365998.9562829435,37950965.0,425429.05076314847
3067542400002100035,184627252.0,2541097.3316933406,1533473495.0,9691913.092847936,1107489762.0,9988846.041519232,99369806.0,1380035.2435844885
3067542400002100040,112978145.0,1591478.231732687,1081476561.0,11854497.344571762,1171389954.0,19774049.554683413,46482323.0,617973.905955329
3067542400002100043,92936835.0,1188646.677183511,687608094.0,5048933.435695237,533517743.0,6894249.05659762,57577388.0,748806.006370381
3067542400002200011,41620115.0,593757.2445539767,201219536.0,1849737.9141254686,29306340.0,430839.34226473403,35013346.0,492477.0659329106
3067542400002200013,9761696.0,129173.42535520751,44963005.0,342666.5070180867,8106923.0,116056.46546826388,9726579.0,134601.04843074712
3067542400002200014,6948536.0,74568.54079415064,31935494.0,250038.81801478332,6010943.0,89159.05760700995,6774078.0,76611.69778426412
3067542400002200036,10988436.0,110231.10903840058,52663950.0,391365.9980785373,11555798.0,166232.2629323675,10754585.0,112997.62594656908
3067542400002200040,78356198.0,1016575.3283815144,532017915.0,6862339.433111697,341318962.0,6791377.53904396,55918256.0,591044.0985394171
3067542400002200041,8199475.0,103123.04142167908,34085881.0,269351.4203522505,5990434.0,82908.70146594313,7964716.0,108176.67684275308
3067542400002200042,138185228.0,1652368.0103970838,1096389496.0,9009780.212843888,933150288.0,11138599.396965096,70072586.0,682406.8041309284
3067542400002200043,39483897.0,868581.2362717165,296197997.0,5239207.837411227,247551489.0,5230175.319134901,19092409.0,212831.33962892063
3067542400002200045,60234190.0,729970.1406481838,524134595.0,4276072.961183859,443317880.0,5163335.815837078,26461736.0,271670.8108104823
3067542400002200046,70744934.0,785289.7736788548,614611003.0,5500020.173640436,619406410.0,8983770.22610265,26409397.0,279929.88024942647
3067542400002200049,102430613.0,1060718.2283612047,815842707.0,4511189.449935626,795774572.0,6678414.781230519,38716496.0,398291.0948634917
3067542400002200050,144075856.0,1954884.3243462965,1209946287.0,10313048.115363495,598460529.0,8024567.789822976,103766444.0,1389405.3420997604
3067542400002200054,58347860.0,582603.609730873,521351803.0,3041518.1258639656,541871599.0,4407765.416035421,24798073.0,258559.5195116949
3067542400002200056,179124386.0,1982193.7016152353,1534055276.0,9496553.940028153,1378084304.0,11682124.49300687,87985765.0,810308.7613484227
3067542400002200059,95769227.0,863721.7001156274,965306905.0,5083265.285602196,1154347149.0,8223347.506950808,35867453.0,366338.13985653943
3067542400002200061,118360867.0,956300.650271095,1158068565.0,6686237.623612257,1388564044.0,14187030.92920192,44043090.0,390808.83986192936
3067542400002200063,115273922.0,1380519.338663441,910253105.0,7233974.66487891,410198141.0,4993687.855104467,85748580.0,971201.3192946708
3067542400002200066,118683902.0,1121445.2068816735,1045230024.0,4587263.385469321,1059333327.0,6754796.324530324,50207966.0,494011.94182214275
3067542400002200068,62733657.0,820019.1939505505,420152644.0,3608933.5871969853,180096182.0,2809950.6636419203,49022957.0,625521.2356303663
3067542400002200070,79127008.0,1101846.7269398686,628285543.0,5372512.471895361,498379414.0,6024239.110985343,39668874.0,458877.6300324034
