,Anti-Rabbit_raw,Anti-Rabbit_high_pass,Anti-Mouse_raw,Anti-Mouse_high_pass,PolyT_raw,PolyT_high_pass,DAPI_raw,DAPI_high_pass
3066066200000100008,4963026.0,70584.50255148507,5062159.0,68898.62965706961,15774689.0,960421.7072294944,2536493.0,171247.50562471664
3066066200000100022,19837925.0,1034921.8499135327,20193333.0,1049598.5838754969,67996786.0,2990267.9412512053,15656401.0,821612.5400497705
3066066200000100023,4383067.0,261073.64725551085,4566263.0,267318.6899007972,14201210.0,1028640.5332213091,4568642.0,350156.12014262
3066066200000100026,16605407.0,903360.5888568077,17564444.0,940067.5881107794,56047255.0,3202668.540051893,17620375.0,1082522.1566771474
3066066200000100028,6815845.0,427606.8037094293,7095031.0,438520.8789548921,22183200.0,1464788.8863904972,5955847.0,425190.9436641735
3066066200000100030,11032802.0,495897.18306277395,11437791.0,507026.95386481873,37186031.0,1948134.7825773826,10158263.0,577937.7121460849
3066066200000100031,10892812.0,575372.2373910679,11282256.0,589721.9306307824,35289321.0,1995400.2973800162,10214368.0,638209.5892507577
3066066200000100035,9234801.0,122860.07575715832,9687791.0,124843.62330140409,36037947.0,406170.4052754685,10415640.0,182357.71321099083
3066066200000100065,16731826.0,211182.6084978667,17661654.0,206783.3393245289,64282398.0,623496.8729795895,22294337.0,334582.34579870297
3066066200000100077,17498206.0,201801.88321719144,18520326.0,189157.91785597205,64316918.0,642314.452902778,23383767.0,348243.0977949574
3066066200000100079,18513632.0,232256.74827866367,19541377.0,224527.8150090599,69939312.0,693260.0939335885,23556434.0,357430.3226960361
3066066200000100080,52333611.0,586295.0518120576,55261315.0,556284.8410522295,191690469.0,1765357.729858115,74409917.0,1044082.7474088374
3066066200000100086,7278264.0,93237.4828903731,7666832.0,89805.96405882319,27088620.0,260583.3283097985,8816284.0,133139.20330029595
3066066200000100090,42281126.0,523585.5786058501,44777950.0,499919.1829592853,154217372.0,1410092.659545562,51127255.0,757317.3616454178
3066066200000200020,9941212.0,663480.4723489224,10585468.0,696499.7372811021,32167758.0,2304248.5446530962,10128908.0,766470.8926715474
3066066200000200032,6010801.0,236182.32133783353,6243365.0,239851.52483205002,20628789.0,1186582.500965743,5463504.0,345858.56854681124
3066066200000200036,21096475.0,290303.3596529876,21895065.0,280514.5895228049,79351272.0,740644.7263810728,22103068.0,330199.0099103071
3066066200000200057,47810489.0,560610.5978890781,50679884.0,535877.7018967917,179755325.0,1841610.5380629832,63484817.0,985589.7477684038
3066066200000200068,28682340.0,333335.4721665609,30421459.0,316413.98549748305,105938309.0,1007280.0805821344,37309963.0,540028.5385525048
3066066200000200072,32340726.0,373320.44380024116,34155697.0,346835.6901757433,117820042.0,1114150.0963442253,46035017.0,657179.3720289824
3066066200000200079,84507655.0,964230.7787511667,88494645.0,897216.9803373754,300057224.0,2830578.530502905,106604400.0,1550042.236457754
