,PolyT_raw,PolyT_high_pass,Anti-Rabbit_raw,Anti-Rabbit_high_pass,Anti-Mouse_raw,Anti-Mouse_high_pass,DAPI_raw,DAPI_high_pass
3068576400000100001,89922376.0,4777730.904015848,24513728.0,1300120.8983898007,21858923.0,1143816.203211939,19830609.0,1261934.0854265103
3068576400000100003,84845185.0,4099355.0901252003,22824596.0,1121623.0930843325,20789379.0,1006863.7236220157,16934624.0,986185.3259606408
3068576400000100006,38852615.0,2134774.704511606,10735857.0,519356.92906748364,9428844.0,448765.436164416,7297296.0,469183.3150508647
3068576400000100015,75399237.0,3266484.239198567,19906250.0,695536.7505174666,18514317.0,642562.0087035951,15016918.0,791094.644406592
3068576400000100023,29957189.0,1358193.6572082255,8124239.0,287201.8781024597,7323872.0,258936.2276503684,5686426.0,317008.05298563873
3068576400000100025,14560567.0,1185882.093438759,4078592.0,223758.3045391563,3665766.0,197963.55835569178,2729417.0,244359.99707820266
3068576400000100027,35294448.0,2231823.2729612356,9838317.0,448884.91875433666,8823855.0,399190.2051354052,6620857.0,477695.70329777
3068576400000100028,37100086.0,2418088.0894951085,10250525.0,498285.0527700543,9186040.0,439827.16511262767,7090118.0,523222.12556077377
3068576400000100029,34535876.0,2347494.9579185527,9418448.0,465700.6146899902,8367635.0,407886.0257098232,6721003.0,511339.2164677463
3068576400000100034,35685435.0,1703432.5052075582,9552055.0,345730.2202342422,8364088.0,295234.7963010945,7058054.0,400188.8822652581
3068576400000100036,20967342.0,1306618.5403026529,5598131.0,249971.73940182006,4916460.0,215514.30998256116,4162359.0,297068.26561638457
3068576400000100042,50186850.0,2384911.988788209,12980587.0,645967.3266090413,11932532.0,594529.597503416,9088061.0,497458.68422326137
3068576400000100043,135789655.0,3250610.1233019163,34842704.0,1103033.401625403,31282994.0,967786.0149378461,28455066.0,874090.276110518
3068576400000100045,65966343.0,2582296.461318742,17348092.0,819837.1273438181,15562332.0,719952.2912132726,14306036.0,645830.3667017563
3068576400000100046,15637140.0,939895.3313228994,4179377.0,277766.6917832391,3782984.0,253199.11953795672,3338376.0,217718.31230828402
3068576400000100049,16970995.0,1002107.1379723479,4493705.0,180155.6824888983,4097057.0,159862.76593187946,3397641.0,220218.2363096843
3068576400000100052,53495561.0,2429801.678058083,13818650.0,666932.5438486773,12665502.0,597852.9171963558,10874366.0,559820.0864056628
3068576400000100057,33355455.0,1479804.7887572704,8954364.0,464868.5210850653,8120125.0,410305.2064975569,6599410.0,331290.38157138095
3068576400000100061,57381490.0,506520.06538195186,14030069.0,221953.88208896533,13012166.0,184961.51085386355,12831410.0,191551.90761306172
3068576400000100064,290746675.0,3553904.695679701,74056041.0,918194.6169623906,71340366.0,996546.8036356787,74695657.0,1679363.2700226894
3068576400000100067,505671898.0,5694861.823594518,70558282.0,779600.5185677777,68665283.0,708290.6214513213,78665677.0,1485435.9807999346
3068576400000100068,84173137.0,866285.1823284719,19404099.0,296073.6295178169,17606654.0,249846.77842612358,20014257.0,311807.6468001413
3068576400000200001,103843297.0,4294321.422606003,28147091.0,1204363.473567063,25255667.0,1067006.2769779474,21678739.0,1113394.6167909703
3068576400000200005,47669108.0,2642257.686713695,13121407.0,545736.7647408516,11745572.0,483017.39179005654,10109997.0,652325.9139024063
3068576400000200006,59745335.0,2941627.716872319,16217012.0,603515.4274898592,14629641.0,537014.5654447802,12363337.0,719503.3153305515
3068576400000200007,16410724.0,1048423.1142945215,4486033.0,203298.3461399064,4006759.0,177495.7999699615,3251054.0,237530.22275819155
3068576400000200012,40825308.0,2016967.9080021624,10654168.0,391965.38956655835,9828783.0,351638.4500866254,7842846.0,465999.8073850621
3068576400000200015,43283683.0,2287336.820906439,11573622.0,457029.14994680166,10452784.0,407540.5065142355,7894296.0,492073.8141058396
3068576400000200016,56031631.0,3196112.5345575865,15422383.0,648044.5868069765,13944133.0,584044.9526874013,10931824.0,730439.4294381305
3068576400000200019,52152833.0,2956126.923141057,14464034.0,616550.3951469217,13009984.0,544661.5615882935,10347698.0,683025.8527745538
