,DAPI_raw,DAPI_high_pass,Anti-Rabbit_raw,Anti-Rabbit_high_pass,Anti-Mouse_raw,Anti-Mouse_high_pass,PolyT_raw,PolyT_high_pass
3066904300003100017,45511361.0,1022375.4943862263,68722069.0,901023.2386716579,81234394.0,1069769.1853754635,270408312.0,3105237.4469259465
3066904300003100037,19186450.0,298680.4028800485,21285192.0,345078.69495798554,22576857.0,349578.880816834,96643036.0,908593.5963203163
3066904300003100039,24581032.0,378229.6241028246,26002263.0,388290.8878617815,26967131.0,360831.6331331725,116043708.0,959514.9018025968
3066904300003200022,3424367.0,106502.54142331459,4261456.0,75051.92335576942,4365868.0,73704.70557928673,17113539.0,411705.1026192352
3066904300004100002,435851004.0,7277850.928898273,229381731.0,2968576.0613737227,263049765.0,3464327.4684884427,1037559457.0,10906208.00923531
3066904300004100003,31113444.0,537243.217103145,39320195.0,536565.724592476,44209343.0,584789.2974953521,172503765.0,1600609.7716128519
3066904300004100004,1912948524.0,16570283.865269419,68262927.0,637825.9002774031,215106708.0,2061731.4447462386,1750926199.0,12670533.699258124
3066904300004100007,1101677266.0,113321606.07308748,44018830.0,402704.1186634888,173863065.0,1035351.4862451442,1769460842.0,7573247.993298402
3066904300004100010,562006609.0,63836901.22421947,22099881.0,198488.31386486202,89523070.0,524718.8607299405,874465913.0,3502380.745216273
3066904300004100013,1031404659.0,8799511.013853732,62055992.0,574004.1512359725,149807161.0,1442320.386043592,948301257.0,7331625.894329309
3066904300004100014,1800186080.0,22639391.04007879,130647702.0,1264480.9228462721,265162214.0,3066417.378333317,1701649007.0,16034640.769507699
3066904300004100015,483019232.0,50249498.68152343,21831723.0,198092.31384434382,93531891.0,588759.5904885451,899394301.0,3549128.9565504547
3066904300004100016,1224925009.0,8277082.863415247,33900483.0,302845.18777224584,127556431.0,943491.9806796908,1008387330.0,5399758.59287326
3066904300004100018,574362940.0,55462502.13630081,25978954.0,240895.2996960317,112982561.0,621473.5492721691,1015135211.0,5115797.863259521
3066904300004100019,1312238757.0,10449709.13611125,64928538.0,580349.621278488,151320570.0,1303733.018159394,1251996601.0,8013816.567904902
3066904300004100020,3313939901.0,93399717.32033347,71307836.0,619214.7097142747,312081652.0,1926126.431220915,2510200522.0,8618962.081815645
3066904300004100021,781579789.0,90714387.2694189,37875460.0,349448.37861212343,171706190.0,1120122.7234555595,1559929126.0,6389268.422266438
3066904300004100023,1201768928.0,10713622.41133261,90066233.0,1266399.2487688614,146856701.0,1937297.050208214,1255406855.0,8646207.654102657
3066904300004100024,1467593062.0,113719459.83736986,65670497.0,589943.9443847572,278096020.0,1768230.0351052405,2691395953.0,10134771.426702803
3066904300004100025,329942487.0,3358710.6708260565,12856900.0,116474.59987736071,47592804.0,528934.7649552084,312848418.0,2444785.3446654254
3066904300004100026,271575024.0,1541683.7389452157,15495280.0,137805.08408541093,40027911.0,480135.6839169422,304995577.0,2397341.4848106643
3066904300004100029,1953760009.0,127828665.58584808,90866253.0,812041.2993247893,400963997.0,2469582.772115854,3699858955.0,13581464.06592012
3066904300004100032,1026618381.0,98958869.98912077,62999818.0,561004.2180151725,251140787.0,1424864.4690500149,2581279949.0,10098389.969427247
3066904300004100035,893259858.0,4653167.586025851,32419333.0,281382.96687784407,119980452.0,851268.4113207709,835127699.0,3667139.6339964503
3066904300004100036,295953087.0,2313191.6266370993,10244367.0,96717.00247323098,38980526.0,389968.1813674812,252644879.0,1625392.144667671
3066904300004100038,700314512.0,43326395.44078024,42074744.0,367505.12555473257,183081101.0,994877.0821688909,1705234136.0,5856756.58509044
3066904300004100040,1211915402.0,15696083.979885012,100472786.0,1548072.4811205731,167862708.0,2634512.526751614,1376048138.0,11325139.97698649
3066904300004100042,790373630.0,6328879.382279402,47125090.0,434013.53573464893,78860099.0,761419.5584057602,646795481.0,4387849.26510854
3066904300004100043,2778698132.0,143486069.0111354,140322419.0,1239725.8159502642,570038454.0,3248538.882016686,5761359648.0,20271161.030886985
3066904300004100044,129504275.0,1080813.3010392175,8755246.0,78747.99727096075,17555886.0,190438.10472508593,118764439.0,958789.8795634328
3066904300004100045,747058914.0,5797785.732640997,29696517.0,273005.06428787415,92758377.0,875885.1320382057,623436249.0,4743950.575865082
3066904300004100047,232860088.0,1297276.8985265696,8361458.0,72476.75482751701,29725134.0,253004.81715040133,201542481.0,1244596.5810515762
3066904300004100048,737654976.0,7948047.657075132,51025826.0,466195.9524998749,87709762.0,917626.7446189073,722549438.0,6081921.825362353
3066904300004100049,341932035.0,1347565.1296230303,13035051.0,108039.39387726618,48691249.0,349245.0381225978,337120543.0,1386230.6169139538
3066904300004100051,577786780.0,72242607.08614235,32717536.0,298693.621609811,138530948.0,823484.8155919057,1239642676.0,4426283.54363428
3066904300004100052,283678676.0,28965525.85015776,26960958.0,248814.90420908295,111781883.0,654423.9426462319,1068164437.0,3832270.8118019197
3066904300004100053,988458582.0,5887704.481225693,38680364.0,334969.99940062687,134048263.0,994451.9055427344,930768376.0,4852481.935272038
3066904300004100054,2684825208.0,21283639.573886205,165034511.0,1500183.704081168,286435178.0,2789160.6925276713,2232750728.0,14502211.512737852
3066904300004100056,1451249134.0,71112337.30047658,28740136.0,240387.21258962012,118771963.0,762490.5053688262,1025816558.0,3725402.903175
3066904300004100057,744556797.0,10124844.530301364,72454354.0,1108682.5759170693,118388651.0,1859178.9652877203,913842613.0,8289327.994194543
3066904300004100061,906239552.0,27867516.73598722,43395933.0,378814.16032627074,178682228.0,1109471.698351265,1754695317.0,5913415.153790042
3066904300004100063,656846076.0,77453992.79292244,33195811.0,302213.89098373696,133341783.0,820708.6014953288,1237117685.0,4861337.402049136
3066904300004100065,3073238033.0,89587190.47652002,72890880.0,617118.3082103292,289833917.0,1967161.3963048013,2252489513.0,8949634.108803287
3066904300004100068,1186762127.0,42025216.965792745,51501326.0,439587.776318607,206806868.0,1187239.214051432,2050510431.0,7298615.82275383
3066904300004100078,2469133348.0,60357267.255294934,47226791.0,405948.5507620056,194182350.0,1195193.1563141719,1699097236.0,4780692.130507563
3066904300004200018,44501650.0,1027531.1436527888,46082320.0,652508.6508728174,47133964.0,652493.8566376494,187085997.0,2380440.501637715
3066904300004200036,14867493.0,268777.13071081054,17459272.0,256295.7772265937,17733627.0,245116.0964077734,65748332.0,637594.1644008005
3066904300004200037,134589421.0,1991085.1444932849,107170330.0,1284302.9974823317,111567384.0,1244392.2973960824,432199475.0,3593461.799924816
3066904300004200038,53327646.0,1021733.6201333458,41752169.0,354690.43787478947,43126296.0,354707.3758774757,173996097.0,1193587.9981102804
3066904300004200040,164991365.0,2562709.4864455736,60512024.0,526035.3027852679,66758722.0,536046.1370568383,297509787.0,2828493.986614649
3066904300004200042,19885817.0,300522.02546509187,7185113.0,68910.75128140872,7924362.0,67558.74209079692,35655443.0,344380.9935722633
3066904300004200048,48656193.0,651492.2545670649,31113671.0,351701.4234009808,31748803.0,339416.8151545583,144380877.0,1057358.5087512904
3066904300004200049,1049395918.0,11209332.924649877,187829828.0,1783373.9065170605,235992174.0,1908620.397615864,1272345567.0,10983308.421017654
3066904300004200050,40650231.0,645630.0132231489,16139556.0,143891.1504003691,17372556.0,145394.11513130047,80400789.0,716478.382639603
3066904300004200056,576052330.0,6357534.744942792,99365592.0,948256.3785789992,126083840.0,1009246.7082104292,685773251.0,5789954.9929813435
3066904300004200058,17330131.0,247868.3206562249,13282696.0,199924.45411004248,13263459.0,191768.54724480535,60721841.0,493136.13846445223
3066904300004200060,8004981.0,110384.72410613432,4455145.0,56539.624732922624,4629545.0,56770.16932154044,21968750.0,162978.9299330805
3066904300004200062,22850201.0,334287.1020096929,5316631.0,52458.948306961975,6306689.0,54679.55418933614,32731123.0,285305.6622557187
3066904300004200063,609566816.0,7387664.1073178435,13225690.0,119537.12854913964,44431104.0,461095.92854759004,421539500.0,3470469.4030075306
3066904300004200065,3821155441.0,65391478.45366544,80739723.0,714512.0395784375,336976877.0,2302434.350725412,2759512375.0,9607333.823773477
3066904300004200067,1228542326.0,8586771.073328977,54290132.0,495240.53832437657,141565084.0,1117714.0731156706,1013263997.0,6696325.955425535
3066904300004200068,209460547.0,2754382.8315569283,8438530.0,72873.11928510646,24532063.0,323119.15019544633,179775551.0,2150852.291103797
3066904300004200071,1719541126.0,15275089.67672559,86356380.0,798154.0018396196,198554802.0,1773637.9411890386,1613693951.0,11234815.685331134
3066904300004200072,246512735.0,3040877.1809600545,33998192.0,306632.8943299419,44243525.0,356740.6943468808,272514150.0,2122362.831203785
3066904300004200073,1259257140.0,9143099.742654419,44076411.0,404241.7264850669,136100787.0,1239421.5327938388,1127740671.0,7377087.265380832
3066904300004200077,90740940.0,857795.2792298172,13821448.0,156964.94153238682,17579226.0,167612.94478531857,111960459.0,640941.3461615941
3066904300004200081,1679807228.0,23176923.674247812,41091224.0,372252.5143823488,158929169.0,992408.521912343,1244075330.0,5374952.349034642
3066904300004200094,1685535391.0,13019110.736192629,48180509.0,455893.7311880201,165366517.0,1271682.9295743986,1294207599.0,7908160.353654179
3066904300004200101,1889847760.0,17054813.33913754,87432293.0,803697.6224327445,176942741.0,1649886.8611148796,1547683307.0,10594284.948138174
3066904300004200104,3242624715.0,18224882.463771727,126184075.0,1119083.4063874413,368507189.0,2551125.3315906995,2859580764.0,13863051.526373528
3066904300004200113,1070094410.0,13528529.807195153,48630901.0,462566.5525175333,91839178.0,1045897.4142504581,881658024.0,8978729.890592948
3066904300004200114,750477320.0,5969904.5225321455,71045365.0,1103776.0955648853,100981498.0,1384615.397778509,803544853.0,4932518.756475201
3066904300004200123,837809165.0,67197605.14002036,47965470.0,424362.1468250832,194986629.0,1032984.2314012364,1861803488.0,7000762.207282934
3066904300004200126,202682570.0,1495898.4276442192,17501655.0,161913.0444453174,24766373.0,182537.89719886478,170299926.0,1064415.3212930055
3066904300004200133,294688144.0,4277953.778354458,25675607.0,235116.6599263221,44218094.0,447238.8435023854,323938322.0,2771465.255051654
3066904300004200138,435208207.0,62296299.575303726,27395906.0,238110.65893983335,112623890.0,652493.8697701568,1060874072.0,3912390.7028344083
3066904300004200144,193623397.0,1850846.3817502714,14320569.0,132338.6411355432,23577108.0,273388.3795816165,156153672.0,1372860.8507971957
3066904300004200149,527044517.0,50792937.063643776,32668581.0,283399.3363809946,134903593.0,839328.1035713752,1268820194.0,4395486.954654544
3066904300004200151,135678349.0,1489649.9885807098,18145361.0,163454.9224122284,28385424.0,290341.8605915272,193169167.0,1664023.1359014178
3066904300004200169,296998131.0,3274096.6348640886,29552105.0,279366.5296735446,53444493.0,566485.4314950042,416089476.0,3070418.8362302855
3066904300004300004,1087914483.0,70816501.9564254,29216875.0,268973.2130706516,107749913.0,713120.5690158154,1047651883.0,5935059.969973043
