,DAPI_raw,DAPI_high_pass,PolyT_raw,PolyT_high_pass,Anti-Mouse_raw,Anti-Mouse_high_pass,Anti-Rabbit_raw,Anti-Rabbit_high_pass
3065666700000100040,20948593.0,383402.75025637465,75154131.0,851370.200122742,32265849.0,320687.333912035,29786834.0,309481.4749162103
3065666700000100049,21773499.0,392663.0701392964,88158878.0,987306.1698611078,38515601.0,383926.9681688453,35665567.0,375853.0964494421
3065666700000100060,17976342.0,337538.91006639454,75893259.0,875969.9506606271,33342026.0,329465.2673121842,30982218.0,328032.34850152343
3065666700000100067,16485133.0,318615.6004563488,63316084.0,704593.0282427614,27864454.0,288738.12070208124,25619308.0,293242.76544957754
3065666700000100085,62666210.0,1189720.3456430444,239202058.0,2950975.8407119294,104935508.0,1115493.0688918494,93994164.0,941901.5329722242
3065666700000200022,34982152.0,610429.4486604864,104874509.0,1210300.5185099186,40460818.0,407514.4991882944,37867187.0,413585.5011616717
3065666700001100010,257311595.0,2831431.4060804285,323596610.0,2739467.189654336,106374237.0,1126340.7303177926,95031128.0,980877.0065220175
3065666700001100011,2337353701.0,10952471.981206445,1373067806.0,6454099.718799367,202368453.0,1654978.0245271649,79755745.0,824384.0579808878
3065666700001100014,1380317560.0,45247704.40909204,947026206.0,3508821.7217040034,133971568.0,971754.9226118793,46640793.0,478276.41457975656
3065666700001100017,1850194588.0,15896232.775485868,1004896573.0,5101466.27333553,152009052.0,1317438.7881439738,55245226.0,583674.8389090636
3065666700001100019,1655731463.0,9826382.47119143,918817289.0,3932240.3848434277,125615095.0,872836.9721981491,49865368.0,531549.5387929714
3065666700001100021,1188987224.0,8094749.4690836035,710003437.0,3424303.6466941796,105528962.0,780611.4929404461,42598220.0,449410.7256682835
3065666700001100022,867131354.0,39914708.60003581,762767511.0,3437744.2506459528,107835261.0,769693.3450717374,36199683.0,384806.30332349945
3065666700001100023,949258838.0,52542540.757749625,717514367.0,2758830.2265207553,97646648.0,641850.961399515,33885615.0,363006.0965557787
3065666700001100027,1363646561.0,94869336.84816748,2188952012.0,6929581.936483292,300489444.0,2044329.1868062874,95095980.0,989630.8880009032
3065666700001100028,1265745924.0,115412842.4559491,1760662385.0,7406477.759444754,238531159.0,1822906.8790071125,79191455.0,903837.4742440155
3065666700001100029,1708180551.0,14672091.150690315,888111293.0,6523245.223105923,129923214.0,1329357.8472300996,66464597.0,711606.5895781534
3065666700001100030,1071056478.0,122867654.50412016,1412566134.0,5008531.456609802,186971697.0,1277702.0026485492,65077643.0,709446.1693011
3065666700001100031,1312569092.0,116269195.96179308,2055505269.0,7397415.305509185,263182953.0,1695614.8302002614,87453315.0,914144.1423816474
3065666700001100034,791732832.0,60395317.483073086,773902505.0,3415527.1642263755,105577179.0,756530.7229670904,37142967.0,388006.7730827136
3065666700001100036,541044087.0,46506411.5290574,704891739.0,2404031.9011863647,98556731.0,673530.4714072212,35179561.0,361224.89063666505
3065666700001100038,1101804417.0,23202723.44763427,517326889.0,3551398.569851338,75686227.0,630239.5002116883,34288778.0,366821.42139129806
3065666700001100039,616997806.0,68277275.7678004,1179194462.0,3904213.727106042,166103428.0,1171658.9186827443,58013123.0,600136.132647911
3065666700001100040,715568170.0,72094171.03439254,678447162.0,2820949.9701651796,92045996.0,654926.3316369042,35720132.0,377428.5349969589
3065666700001100043,986520702.0,94670758.01690772,861036094.0,3811739.2385303974,122193577.0,1021045.5056006531,50215029.0,552451.3633248471
3065666700001100044,881458345.0,80088169.02214411,859634575.0,3601833.605631271,109009345.0,829019.0861442694,48407839.0,535116.1795198892
3065666700001100048,2153107839.0,14526780.984562151,1062204083.0,5532137.198791429,148873105.0,1280775.7716591016,76919065.0,796260.2559754807
3065666700001100050,465755661.0,32905313.28275135,430790891.0,2180681.178434766,58453578.0,428928.32182435726,23097515.0,257773.00583467534
3065666700001100052,637874375.0,60919135.50331832,584950364.0,2020453.7078739177,79535122.0,549743.7006913458,31111843.0,325860.158612122
3065666700001100055,972540337.0,87395013.62973803,877032867.0,3983061.621569548,124671179.0,1021210.2243195192,45566714.0,480563.39692851616
3065666700001100056,1106582987.0,106573480.43232921,1329511464.0,6232841.677068938,179369721.0,1384791.801181592,61499217.0,697126.2097835179
3065666700001100057,812860889.0,86505095.05472387,865519413.0,3062196.5589543413,123033616.0,881969.8691068351,43626603.0,454643.9014336392
3065666700001100059,1168136001.0,102555357.29942806,1409628427.0,5661150.148055657,193629528.0,1427891.370690839,76930324.0,851396.4195607444
