,Anti-Rabbit_raw,Anti-Rabbit_high_pass,DAPI_raw,DAPI_high_pass,PolyT_raw,PolyT_high_pass,Anti-Mouse_raw,Anti-Mouse_high_pass
3071130200006100028,11186694.0,719919.9830340395,922412.0,204342.7629663802,5526338.0,1223824.1850900864,10277303.0,655033.794098598
3071130200006100038,51629205.0,2511275.7582168602,5261397.0,664900.2056449023,32550925.0,4044311.7120634443,47463707.0,2260448.3465551003
3071130200006200001,34560235.0,1805671.6692118386,4603318.0,602371.869599214,25375177.0,3251454.013466924,32453497.0,1668273.6171442138
3071130200006200012,7354532.0,94031.31860023038,1710705.0,173360.79023280792,9088605.0,878678.5073390647,6432660.0,76047.94249793475
3071130200006200019,10898929.0,762022.1261493367,1027402.0,264896.3010038505,6174130.0,1590766.3337833304,9994227.0,689724.5981986211
3071130200006200023,52854804.0,3080888.3394510155,5613562.0,883144.1226798657,33591520.0,5198936.931706093,48252743.0,2768693.0739694415
3071130200006200026,17083399.0,1056298.2504405521,1773383.0,333464.020320697,10430845.0,1942807.7101714858,15707182.0,955216.7924749302
3071130200007100010,27113614.0,256020.77893344001,7911171.0,110590.36303058217,41302516.0,313759.206799331,24630216.0,213961.66548339208
3071130200007100020,68749897.0,623172.1773932202,48302026.0,830466.1594528831,292072155.0,2365609.342162383,81557835.0,819236.4313141557
3071130200007100021,264822696.0,2474772.2992667765,160354462.0,2875952.8607728956,939501980.0,7251468.014768183,296962214.0,3016375.4773615464
3071130200007100026,128616321.0,1252664.188895878,141940328.0,5503993.935765927,581240387.0,16071416.772325013,144504681.0,1618085.1847456445
3071130200007100027,61693225.0,583459.9463046982,25027573.0,470937.6865327992,153345699.0,1990548.353175609,59854501.0,573439.0542199393
3071130200007100031,24721906.0,230243.40228588847,6543628.0,85696.07202059502,38352852.0,268759.4152088979,22411437.0,186304.2536891981
3071130200007100037,36233410.0,1856734.7491672607,21018259.0,1357801.0140615269,178185157.0,10431736.873505045,46170506.0,2362021.5715043913
3071130200007100039,13327141.0,599757.680174042,12155646.0,861189.1819111762,52315503.0,3952636.166382025,14688974.0,675471.500085812
3071130200007100044,91026727.0,1042872.898273412,80071011.0,2070498.9471361185,213692278.0,4432552.370417092,87105944.0,912672.6602637988
3071130200007100048,22847739.0,615342.0114075093,5538551.0,352307.3080139642,30572208.0,1762053.057685486,19662838.0,518635.01732998854
3071130200007100054,46572899.0,513263.3622562983,31312714.0,424475.88531993184,179626811.0,2085629.617960984,52353305.0,669765.2528261886
3071130200007100056,43844673.0,496521.695666758,55792337.0,945099.968883632,164101568.0,1796698.2153563485,45252641.0,481502.30952043645
3071130200007100060,126689907.0,1400872.2136836047,74870442.0,1119268.8853939557,670203479.0,5127658.591039058,164970580.0,1995336.4061955733
3071130200007100066,51932616.0,548629.1335802104,14016210.0,205278.44152112756,72340009.0,574646.7478479461,45925311.0,441614.7561548373
3071130200007100070,44311376.0,497708.5429387436,21785079.0,344715.98814463255,192521267.0,2474861.5996744456,52859109.0,718011.90557344
3071130200007100071,136068416.0,1499936.3617476192,76074269.0,1061131.8229542638,580587490.0,5568080.046592243,151865395.0,1828815.9619379013
3071130200007100072,11039009.0,125777.10682657736,3096535.0,51474.0476271068,15089811.0,134446.06111228123,9737952.0,100120.95346811642
3071130200007100075,163771108.0,1809459.7431556424,120637992.0,1567865.4514430836,738672987.0,6027198.910607501,190287177.0,2301498.4716145378
3071130200007100077,62344338.0,680030.9253102988,46733807.0,745656.2936689499,148701727.0,1366727.2809861726,59618665.0,589547.7238443613
3071130200007100085,84719929.0,936661.030016751,205518506.0,3013546.592107529,429954600.0,4391195.929677678,88601703.0,960824.3306277859
3071130200007100086,21905105.0,235575.76070728168,15876677.0,465166.35538642853,44445022.0,542196.1085337325,20041245.0,195542.2660987598
3071130200007100091,128916350.0,1426571.4682053074,104242667.0,1309133.098632316,668436424.0,6012756.771872395,141205929.0,1768558.1842692462
3071130200007100095,8216459.0,76033.3215616581,2042784.0,26859.604466648037,11584763.0,86703.46045877828,7278182.0,61440.57274442223
3071130200007100096,46265277.0,543964.0634748964,51136696.0,927375.9058316515,183970674.0,3146327.2223366727,46160271.0,621231.2146876152
3071130200007100097,21665695.0,216036.888852021,5401730.0,79590.27586326952,30968419.0,271063.0290032288,19234526.0,171790.96620790235
3071130200007100098,9898757.0,115724.49707755582,16365196.0,448247.8590898872,37488628.0,739210.9214942981,9830654.0,139883.6380618979
3071130200007200006,28327865.0,713832.8274027744,7370237.0,340119.4309409499,39900436.0,1625917.6191985724,25371341.0,618834.9909217557
3071130200007200017,109808292.0,997245.9718115047,113363951.0,1713534.112981331,500630571.0,3341535.520711224,127044204.0,1255641.364010854
3071130200007200026,76188254.0,3041792.3445868366,31797772.0,1461408.0173370878,158052183.0,5936645.951287287,73562467.0,2825806.516980145
3071130200007200030,35561185.0,1124166.826048665,30692544.0,1225256.8620143782,223327679.0,8448730.851518441,47231575.0,1627869.128213182
3071130200007200032,23953836.0,820586.7162395479,6882482.0,383531.5133801424,34854822.0,1735577.1729156636,21217889.0,708194.7665950572
3071130200007200033,23144000.0,869800.5599320474,6329600.0,390383.350108569,31360097.0,1727148.5378382606,20299617.0,748976.9786236426
3071130200007200035,7007498.0,225753.08387845784,1657818.0,144592.56684118125,9059802.0,721325.452338003,6064581.0,191116.27992415035
3071130200007200036,26001963.0,399592.9010569348,6624846.0,471965.1542164131,35726444.0,2324856.41277563,23661789.0,341013.45223760646
3071130200007200038,7392508.0,89196.76778612449,1797199.0,132640.8312009329,9786976.0,649921.9814310006,6678212.0,71481.3289115951
3071130200007200039,15621017.0,183313.824924819,4425830.0,260940.52304209923,22245964.0,1175570.4205565539,14319623.0,153200.6468481676
3071130200007200041,22425380.0,262734.1789961951,6761180.0,353248.97447778017,34705069.0,1595338.470783996,20598931.0,214587.8564553102
3071130200007200043,21886364.0,253214.83989326644,17567780.0,899118.4492673461,62299349.0,3109249.407516247,21985723.0,248141.18982809084
3071130200007200044,7950016.0,91587.86306628428,6138732.0,83420.55676558497,20567311.0,181063.2016210903,7630900.0,76533.00493178173
3071130200007200045,8189750.0,96062.59242067169,6208247.0,487911.17367408506,18884238.0,1392173.279429994,7919520.0,84109.0856174056
3071130200007200048,24028298.0,274019.1828263431,16925761.0,1018307.2622437212,47830162.0,2566372.2381625343,22794736.0,233400.41936563211
