,Anti-Rabbit_raw,Anti-Rabbit_high_pass,PolyT_raw,PolyT_high_pass,DAPI_raw,DAPI_high_pass,Anti-Mouse_raw,Anti-Mouse_high_pass
3071551700005100006,8747415.0,551855.2092009572,15599825.0,960388.2361646661,2729839.0,185850.30669978049,7594388.0,474820.2693852441
3071551700005100009,37172397.0,477853.7042952685,69401774.0,612607.7521152169,11762092.0,190553.288675279,32948855.0,396669.736195063
3071551700005100011,5789855.0,72129.1868393848,10746447.0,87642.1325701531,1873137.0,29158.386981183463,5063802.0,58797.63131018514
3071551700005100012,33312805.0,427825.166011854,63111372.0,531490.2666102366,11132976.0,187192.6548093599,29505293.0,364346.29292329005
3071551700005100019,17189533.0,218266.53056649843,32501674.0,267964.0155484186,5168086.0,85865.32810071555,15110392.0,183667.7045165736
3071551700005100030,14085682.0,177657.97467552125,25803512.0,221164.34037607358,4055638.0,64589.06097647337,12199856.0,141426.60866377543
3071551700005100035,31362180.0,371331.1049278721,62448422.0,494795.2547960709,10754561.0,165570.56114217397,27023795.0,286766.93300156365
3071551700005200009,9031958.0,527604.648607378,16464172.0,916523.5606112545,2836342.0,178128.2221769736,7871079.0,451051.03639568266
3071551700005200023,55626728.0,668160.3776523343,114678084.0,1013788.2054602893,18698008.0,287541.18551017507,48418050.0,534142.5700308124
3071551700005200032,15003352.0,185857.96871673537,27626158.0,244146.91529153122,4429123.0,75792.7975758245,13048495.0,153252.411728149
3071551700005200034,17972725.0,1235096.5236825238,15586858.0,2985857.8135597757,2384048.0,457626.3806561992,15613704.0,1066037.2777646896
3071551700005200039,8007461.0,604782.4744298563,6213600.0,1509808.4163844064,945199.0,228602.01028026434,6902056.0,516900.7808097891
3071551700005200043,10686687.0,127020.61252193904,20039025.0,169166.02540125645,3019221.0,48994.667956370395,9186686.0,102255.6770078383
3071551700006100001,44349655.0,2221233.1595541844,82565193.0,4256506.880526591,14799172.0,862771.0847223143,39733058.0,1988367.8379001087
3071551700006100002,59069341.0,1953399.9627285483,125779935.0,4092582.0179476985,22824858.0,910783.6843276955,52852927.0,1730347.0990023213
3071551700006100003,14147036.0,753659.3208494408,28255539.0,1648792.6311679597,5165280.0,334734.7033026954,12579701.0,667037.9114475326
3071551700006100009,10729256.0,524376.8268964322,20914092.0,1445502.242085212,3851700.0,286221.08608538983,9812435.0,472080.00939746754
3071551700006100019,20417717.0,862678.8145906045,36483520.0,2117240.3686136575,7131056.0,462543.30641374446,17514942.0,738462.5139215972
3071551700006100030,8655763.0,122530.67876850975,15853376.0,701891.6062358262,3024800.0,157250.7149907394,7401005.0,103755.2023208209
3071551700006100031,5094677.0,610522.7080201565,8419530.0,1106349.3874761201,1341308.0,181501.50149765058,4401154.0,523777.3334037978
3071551700006100037,9748853.0,571556.7089986592,17279301.0,985795.382936945,3094887.0,198598.39806318152,8265561.0,478941.1397612758
3071551700006100053,6455036.0,75290.37883486421,13195706.0,111853.76223796958,2442032.0,38809.23659008321,5413674.0,60129.386948810105
3071551700006100054,63575631.0,647728.4638861113,138399204.0,1201249.1543557243,31657050.0,506336.6325045949,55552356.0,516627.5792860293
3071551700006100055,59590395.0,672818.0216135664,129026530.0,959518.671600246,25714018.0,381487.55400975683,52279873.0,548133.3974984963
3071551700006100058,56705577.0,575687.7673483144,118303521.0,961827.8275680118,26481075.0,403422.3295802266,51401541.0,472508.9946730918
3071551700006200001,46984923.0,2309289.7115826663,86421733.0,4343192.777449389,15867037.0,909537.4414265425,40805205.0,1994854.6646649064
3071551700006200005,31609411.0,1342854.783998182,61253224.0,2861445.837435503,11508731.0,621010.2750952569,27492882.0,1156359.4686052597
3071551700006200006,12799380.0,360390.1298304534,23556160.0,1410654.9748193892,4507927.0,294226.9107521423,11314314.0,311569.64669342095
3071551700006200007,20917808.0,836279.6397171301,35914628.0,1933781.5611517227,6927502.0,422013.989522593,18363805.0,725294.7943200233
3071551700006200008,15988802.0,508527.72577439976,27088033.0,1134184.1111994297,5395325.0,265508.30844303005,13903222.0,433069.5390447892
3071551700006200009,14844654.0,647144.2997983688,25762842.0,1553749.191962571,5097006.0,337692.4049957229,12963826.0,558501.3462237064
3071551700006200016,15968838.0,640020.7132266822,27897825.0,1478052.0658656238,5123967.0,308397.91211395233,13873393.0,541975.3406442906
3071551700006200017,29370243.0,1050829.984515538,51867249.0,2414084.6012045015,9823977.0,528234.0448715567,25505830.0,898014.623513384
3071551700006200018,12706673.0,398385.36318557034,21811436.0,1196407.268674086,4039987.0,248724.24028829255,10985329.0,340543.36889061204
3071551700006200020,13312567.0,572341.0777669905,24055893.0,1415581.6138080824,4569344.0,301964.0047229155,11429071.0,486625.9159311671
3071551700006200023,21177538.0,807072.1700429873,37755876.0,1891659.4345691232,7380987.0,426095.7045232351,18136189.0,682291.1663084757
3071551700006200029,11878494.0,169124.33303662887,20990883.0,870610.7938836087,3960631.0,193097.1029551578,10266459.0,138619.69978556485
3071551700006200033,5041816.0,426598.73272461863,8729868.0,766541.9358949105,1482725.0,139870.5469614583,4355864.0,368436.17520932347
3071551700006200034,21601216.0,1196651.279638569,42108271.0,2294373.743318707,6870934.0,405274.8555775473,18750492.0,1017474.798136761
3071551700006200038,13909473.0,792174.4318145686,25236710.0,1403697.001891905,4408984.0,274272.0641859119,11858144.0,671706.7356509586
3071551700006200040,13160461.0,822237.239751873,23281478.0,1417979.8999674583,3969524.0,267892.4588877391,11117527.0,691934.8589205688
3071551700006200046,22656743.0,264435.6548147559,43722486.0,358918.6426323518,8160275.0,131948.72216279188,19651546.0,215379.46923887613
3071551700007100001,102669654.0,803058.2724232952,851914760.0,3855969.3724591164,780284484.0,4902651.53284598,137291778.0,976503.7639647723
3071551700007100003,133206349.0,946417.0480176547,709735065.0,5376745.239203029,576276313.0,5656408.749932447,152478802.0,1017628.9886686498
3071551700007100007,181376745.0,1602963.5851324778,1773429709.0,6872147.1141785905,1698776981.0,8524695.853182629,256322416.0,1898665.7307178327
3071551700007100009,42400917.0,411940.95548807236,346179508.0,3145014.092778916,314542651.0,3514618.512756468,56512332.0,551693.2950980788
3071551700007100010,91748115.0,961234.4190882405,1074357307.0,4315679.776342368,1061060456.0,4773123.36647678,153773529.0,1358395.4300406964
3071551700007100011,96045642.0,1153461.4269286548,816599257.0,5504586.9957901,722844858.0,5237560.244697431,134953809.0,1443155.104018272
3071551700007100012,103975764.0,1090265.7383585663,1114696962.0,4177908.1326743877,1085470280.0,5200393.251446436,170825144.0,1415418.4771222176
3071551700007100017,50482581.0,535138.3424951321,602539837.0,2789110.7840623045,669864710.0,3819476.78439485,89963656.0,785154.1694262278
3071551700007100018,65795347.0,670472.2655596114,931954549.0,3402813.3016144265,936372995.0,4311256.621589995,128086598.0,1062515.1260606376
3071551700007100019,149791869.0,1675341.932690025,1232267697.0,4801330.422469757,1169881269.0,5725995.941215405,241888024.0,2121451.7779954737
3071551700007100021,81081491.0,877482.1599709712,1136620478.0,5110543.307074865,1241993815.0,6394533.279833415,157128535.0,1332250.572567462
3071551700007100025,72337158.0,651195.269401582,801950809.0,2227724.711439053,763419347.0,1687936.113229001,149439565.0,953389.9912736556
3071551700007100028,118091621.0,1263712.0960031245,1811687453.0,6906415.280804579,1938212542.0,8675108.49251344,247628531.0,2106855.8969622357
3071551700007100029,196700515.0,2691676.3990228027,1424690196.0,8142907.201479381,1626288055.0,10024264.197513966,313060028.0,3623539.8910986134
3071551700007100030,33430909.0,363412.3025917157,429662383.0,2376409.88047868,486471088.0,2931955.6152418004,63515255.0,609122.5986108269
3071551700007100033,169849654.0,1890451.201260571,2291615782.0,9869721.641131887,2614065630.0,10941340.680306679,337130821.0,2935988.499964115
3071551700007100034,70400334.0,822680.0120060187,845873690.0,4021333.3486242476,880410637.0,4354741.99494022,170986831.0,1662468.1202823806
3071551700007100036,96870874.0,862135.60682963,1375515201.0,4865080.506951971,1609455256.0,6598585.280543944,227134856.0,1456336.9871908994
3071551700007100040,65566672.0,731295.7981250151,925374390.0,3813719.5296601527,1107874284.0,5586724.294467392,141744547.0,1219959.156459673
3071551700007100046,37877087.0,476013.98677343485,512939118.0,1603282.6492421986,690481772.0,2565541.7037781295,125403329.0,898680.2922316097
3071551700007100048,49463978.0,601836.1687542113,642125222.0,2250970.2923117657,810149163.0,3593043.8682570755,168180682.0,1550160.350294649
3071551700007200006,22557796.0,192505.8945877175,146760846.0,1590079.6249258243,128515193.0,1941883.9166173697,25753334.0,216424.82948357097
3071551700007200012,113881982.0,1404183.3175596655,1093501441.0,4136411.982784842,1046387731.0,5471304.333630456,158310597.0,1445985.6496689445
3071551700007200016,48367404.0,736971.7718408421,355398711.0,1813909.9217258575,311266416.0,1930441.2520631969,61255910.0,605029.3504953895
3071551700007200020,159993557.0,1890499.1362122623,1464699173.0,7233545.50731389,1371342070.0,8927468.598549228,231814253.0,2063994.2616263328
3071551700007200021,169189006.0,2284319.161321203,1430259126.0,6154627.1640061755,1414921795.0,7504982.159055315,221697723.0,1835671.8794228095
3071551700007200022,44233590.0,466920.2520851942,571414172.0,1866724.1695901481,570137066.0,2427443.656576569,78319144.0,544186.3587166577
3071551700007200025,181155930.0,2085497.5326496628,1612707869.0,6034151.253400658,1645581389.0,7079671.897214388,278276036.0,2032758.58328891
