,PolyT_raw,PolyT_high_pass,Anti-Mouse_raw,Anti-Mouse_high_pass,DAPI_raw,DAPI_high_pass,Anti-Rabbit_raw,Anti-Rabbit_high_pass
3066494500000100029,141943795.0,1214051.4088787732,47543313.0,557563.2896429033,30715201.0,454154.45299028093,45333804.0,580183.7630814519
3066494500000100056,100319329.0,702365.8916534019,34959859.0,350086.6183805707,24319328.0,333981.1383135648,33147199.0,362946.8636412444
3066494500000100063,23452771.0,329374.63171076286,8136800.0,88694.97612853271,5215812.0,130035.37282489697,7822570.0,95124.33719413754
3066494500000100076,297885217.0,4085690.7946684896,108679354.0,1137434.2101402418,68572946.0,1671882.9175973597,102601674.0,1178270.226272033
3066494500000200036,14013749.0,118279.61337914239,4995031.0,55817.67586917916,3567588.0,54264.45849107841,4701402.0,58124.371502214635
3066494500001100035,61406723.0,496032.70959621796,19959487.0,240225.70324965782,12493665.0,187222.4563116487,19985236.0,253545.89383112255
3066494500001100038,89592162.0,878171.1647922938,29807562.0,253042.46226581236,16646219.0,304569.59340752795,28618452.0,264995.0011779155
3066494500001100043,65594296.0,643594.1318916027,21993745.0,196759.76999814736,12592545.0,234446.80260127728,21975030.0,204136.85497392964
3066494500001100048,151857048.0,1196782.5413222443,51490866.0,579729.7354531066,28825032.0,410735.2924368427,49702366.0,608064.1796652104
3066494500001100051,694683538.0,6919355.559341,231094858.0,1952789.1404361841,143205582.0,2572483.828780662,221939224.0,2062899.061173123
3066494500001100058,14654198.0,120447.7937751697,4783473.0,55658.849444108244,3189525.0,46368.74117786891,4798001.0,60171.568650863504
3066494500001100060,35369656.0,244016.82899477956,11723742.0,103575.38453843552,6894303.0,80961.6929988452,11676798.0,109827.58211375767
3066494500001100063,195975942.0,1856326.6160219451,62579247.0,524282.7210961035,33959973.0,601579.1977163431,61641003.0,545474.7233269706
3066494500001100065,245954630.0,2346693.9746332066,81317411.0,673031.2023981713,40928881.0,725663.371886611,79752661.0,705966.1633196918
3066494500001100067,65237036.0,617643.8260053329,21090560.0,174893.54796030337,11087438.0,195375.6213195425,20684799.0,182786.64813247917
3066494500001100070,75622128.0,742631.3351991207,24822916.0,209580.49047862086,14365533.0,251196.1378054833,24499699.0,217140.1867262115
3066494500001100071,79512878.0,611895.0282906019,26280616.0,291376.7280740321,14859121.0,216658.9765781536,25625708.0,305835.2785721481
3066494500001100072,175108952.0,1332965.415130608,58193305.0,477428.6177261241,35073339.0,468586.76445253077,56969300.0,497644.9736107254
3066494500001100075,821152040.0,8329266.122486187,273845455.0,2274134.2118303897,172715201.0,3121691.467305443,261724100.0,2371829.25667533
3066494500001100083,52268888.0,404604.5742549531,17302524.0,191431.58555405238,12211545.0,170075.25254780697,16912858.0,202486.65928999073
3066494500001100086,252227122.0,2467698.415096592,84595790.0,694637.8891492971,52533054.0,926532.1326107336,81301381.0,726223.5815894147
3066494500001100087,138679543.0,1286303.4512441226,45809628.0,375117.99273543165,23904259.0,422969.0080034019,45321897.0,392256.2724708166
3066494500001100089,84915401.0,649996.7552230379,27818327.0,303609.70412637136,16444538.0,231459.10876389974,27273205.0,318084.88812928397
3066494500001100096,68751040.0,641029.2359277483,22968669.0,186682.10234352926,13513732.0,235691.74853915937,21858976.0,193609.66612186073
3066494500001100099,100237867.0,987935.8097659252,33453255.0,272678.6157232223,19113149.0,328308.4367691532,32008649.0,280457.3916220753
3066494500001100101,25982833.0,195507.91860796392,8441679.0,91533.70159179518,5278092.0,73652.16442340722,8327192.0,95966.18368746473
3066494500001100113,103670539.0,944750.8598600063,34299663.0,278227.5553279061,19138863.0,329554.8706579299,33997344.0,292307.83537286165
3066494500001100116,67120203.0,502037.6317903495,21893092.0,236082.65047305514,13924723.0,194415.16092237463,21466439.0,244858.48354381617
3066494500001100121,42138038.0,415369.9700954716,15190211.0,133396.22280937017,9062670.0,160350.83415775455,13468880.0,124030.77128389786
3066494500001100122,210688933.0,2010707.6185996276,71678662.0,584752.4005586158,42661183.0,738840.1053331892,68280301.0,605264.0337766709
3066494500001100124,233567583.0,2145502.8862455925,79510676.0,643613.9301311482,46130921.0,799616.2747554489,75826939.0,652546.2419617821
3066494500001100125,339630656.0,3311835.641951831,121987426.0,1076621.9386169813,73774341.0,1320301.155050416,110443447.0,981228.6600834318
3066494500001100128,107751830.0,996626.7573878003,36688363.0,293156.97768626304,21766946.0,372923.8944390318,35045517.0,305089.271468099
3066494500001100130,135083686.0,1194719.1016197575,44942676.0,351782.9502323555,24327554.0,431340.4533546107,44428918.0,373027.124989627
3066494500001100132,510725787.0,4370885.929226773,164696227.0,1363290.5420637326,91221128.0,1532080.0429800828,158862243.0,1353842.8209899634
3066494500001100133,152823111.0,1090797.468746209,50101901.0,532541.9886938606,32492017.0,438070.5986017121,49222518.0,559248.6836698462
